YY,DD,MM,Kick-off,Date of the game,,Country,League,Seasons,ToG,Teams ,,Teams ID,,FT +OT Scores,,,,,,Draw,,,1 q ,,,OT Money Line,,OT Money Line,,OT Money Line,
,,,,GMT (UTC +0),PST (UTC -8),,,,,Home,Away,H,A,H,A,W,215.5,AH,TG,,H,A,H,A,R,matchbook,,pinnacle,,bet365,
,,,,,,,,,,,,,,,,,,,,,,,,,,H,A,H,A,H,A
2019,13,Apr,21:00,4/13/2019 21:00,4/13/2019 13:00,USA,NBA,2018/2019,Play Offs,Toronto Raptors,Orlando Magic,TOR,ORL,101,104,A,U,3,205,,,,30,25,H,1.22,1.33,1.27,4.26,1.25,4.20
2019,13,Apr,18:30,4/13/2019 18:30,4/13/2019 10:30,USA,NBA,2018/2019,Play Offs,Philadelphia 76ers,Brooklyn Nets,PHI,BKN,102,111,A,U,9,213,,,,22,31,A,1.28,3.30,1.44,3.01,1.28,3.75
2019,11,Apr,2:30,4/11/2019 2:30,4/10/2019 18:30,USA,NBA,2018/2019,Regular,Denver Nuggets,Minnesota Timberwolves,DEN,MIN,99,95,H,U,4,194,,,,22,21,H,1.15,7.00,1.14,6.83,1.23,4.25
2019,11,Apr,2:30,4/11/2019 2:30,4/10/2019 18:30,USA,NBA,2018/2019,Regular,Los Angeles Clippers,Utah Jazz,LAC,UTA,143,137,H,O,6,280,OT,126,126,39,26,H,1.44,3.08,1.43,3.06,1.35,3.30
2019,11,Apr,2:30,4/11/2019 2:30,4/10/2019 18:30,USA,NBA,2018/2019,Regular,Portland Trail Blazers,Sacramento Kings,POR,SAC,136,131,H,O,5,267,,,,30,39,A,1.27,4.25,1.27,4.21,1.26,4.00
2019,11,Apr,0:00,4/11/2019 0:00,4/10/2019 16:00,USA,NBA,2018/2019,Regular,Atlanta Hawks,Indiana Pacers,ATL,IND,134,135,A,O,1,269,,,,28,35,A,1.88,2.05,1.87,2.04,2.05,1.80
2019,11,Apr,0:00,4/11/2019 0:00,4/10/2019 16:00,USA,NBA,2018/2019,Regular,Brooklyn Nets,Miami Heat,BKN,MIA,113,94,H,U,19,207,,,,32,23,H,1.46,2.98,1.44,3.01,1.41,3.00
2019,11,Apr,0:00,4/11/2019 0:00,4/10/2019 16:00,USA,NBA,2018/2019,Regular,Charlotte Hornets,Orlando Magic,CHA,ORL,114,122,A,O,8,236,,,,25,30,A,1.56,2.67,1.58,2.56,1.83,2.00
2019,11,Apr,0:00,4/11/2019 0:00,4/10/2019 16:00,USA,NBA,2018/2019,Regular,Memphis Grizzlies,Golden State Warriors,MEM,GSW,132,117,H,O,15,249,,,,45,41,H,2.35,1.46,2.65,1.55,3.60,1.31
2019,11,Apr,0:00,4/11/2019 0:00,4/10/2019 16:00,USA,NBA,2018/2019,Regular,Milwaukee Bucks,Oklahoma City Thunder,MIL,OKC,116,127,A,O,11,243,,,,31,29,H,2.37,1.50,2.50,1.60,2.70,1.50
2019,11,Apr,0:00,4/11/2019 0:00,4/10/2019 16:00,USA,NBA,2018/2019,Regular,New York Knicks,Detroit Pistons,NYK,DET,89,115,A,U,26,204,,,,22,36,A,4.75,1.24,4.73,1.23,5.00,1.19
2019,11,Apr,0:00,4/11/2019 0:00,4/10/2019 16:00,USA,NBA,2018/2019,Regular,Philadelphia 76ers,Chicago Bulls,PHI,CHI,125,109,H,O,16,234,,,,32,20,H,1.29,4.10,1.29,4.06,1.22,4.50
2019,11,Apr,0:00,4/11/2019 0:00,4/10/2019 16:00,USA,NBA,2018/2019,Regular,San Antonio Spurs,Dallas Mavericks,SAS,DAL,105,94,H,U,11,199,,,,30,16,H,1.08,10.50,1.08,10.16,1.07,9.00
2019,10,Apr,2:30,4/10/2019 2:30,4/9/2019 18:30,USA,NBA,2018/2019,Regular,Los Angeles Lakers,Portland Trail Blazers,LAL,POR,101,104,A,U,3,205,,,,25,26,A,5.00,1.23,4.58,1.24,4.50,1.22
2019,10,Apr,1:30,4/10/2019 1:30,4/9/2019 17:30,USA,NBA,2018/2019,Regular,Oklahoma City Thunder,Houston Rockets,OKC,HOU,112,111,H,O,1,223,,,,26,32,A,2.12,1.71,2.12,1.81,1.83,2.00
2019,10,Apr,1:00,4/10/2019 1:00,4/9/2019 17:00,USA,NBA,2018/2019,Regular,Utah Jazz,Denver Nuggets,UTA,DEN,118,108,H,O,10,226,,,,27,21,H,1.62,2.02,1.74,2.22,1.80,2.05
2019,10,Apr,0:30,4/10/2019 0:30,4/9/2019 16:30,USA,NBA,2018/2019,Regular,Dallas Mavericks,Phoenix Suns,DAL,PHX,120,109,H,O,11,229,,,,33,18,H,1.24,3.34,1.34,3.59,1.32,3.50
2019,10,Apr,0:00,4/10/2019 0:00,4/9/2019 16:00,USA,NBA,2018/2019,Regular,Chicago Bulls,New York Knicks,CHI,NYK,86,96,A,U,10,182,,,,24,39,A,1.70,1.99,1.86,2.05,1.80,2.05
2019,10,Apr,0:00,4/10/2019 0:00,4/9/2019 16:00,USA,NBA,2018/2019,Regular,Minnesota Timberwolves,Toronto Raptors,MIN,TOR,100,120,A,O,20,220,,,,28,26,H,2.93,1.32,3.22,1.40,3.15,1.38
2019,10,Apr,0:00,4/10/2019 0:00,4/9/2019 16:00,USA,NBA,2018/2019,Regular,New Orleans Pelicans,Golden State Warriors,NOP,GSW,103,112,A,U,9,215,,,,19,18,H,3.82,1.21,4.68,1.23,3.50,1.32
2019,9,Apr,23:30,4/9/2019 23:30,4/9/2019 15:30,USA,NBA,2018/2019,Regular,Miami Heat,Philadelphia 76ers,MIA,PHI,122,99,H,O,23,221,,,,34,20,H,1.50,2.36,1.56,2.62,1.57,2.55
2019,9,Apr,23:00,4/9/2019 23:00,4/9/2019 15:00,USA,NBA,2018/2019,Regular,Cleveland Cavaliers,Charlotte Hornets,CLE,CHA,97,124,A,O,27,221,,,,31,33,A,3.22,1.24,3.40,1.37,3.30,1.35
2019,9,Apr,23:00,4/9/2019 23:00,4/9/2019 15:00,USA,NBA,2018/2019,Regular,Detroit Pistons,Memphis Grizzlies,DET,MEM,100,93,H,U,7,193,,,,20,32,A,1.13,4.40,1.18,5.65,1.19,5.00
2019,9,Apr,23:00,4/9/2019 23:00,4/9/2019 15:00,USA,NBA,2018/2019,Regular,Washington Wizards,Boston Celtics,WAS,BOS,110,116,A,O,6,226,,,,39,25,H,1.42,2.00,1.50,2.80,1.47,2.75
2019,8,Apr,1:30,4/8/2019 1:30,4/7/2019 17:30,USA,NBA,2018/2019,Regular,Los Angeles Lakers,Utah Jazz,LAL,UTA,113,109,H,O,4,222,,,,34,27,H,7.60,1.13,7.46,1.12,5.50,1.16
2019,8,Apr,1:00,4/8/2019 1:00,4/7/2019 17:00,USA,NBA,2018/2019,Regular,Portland Trail Blazers,Denver Nuggets,POR,DEN,115,108,H,O,7,223,,,,29,25,H,1.27,3.30,1.74,2.22,1.71,2.20
